Text1,Text2,Generated Same Causal Variable,Predicted Same Causal Variable,Generated Variable Name,Predicted Variable Name,Data Generation Model,Prediction Model,Domain,Explanation
Smart Growth Initiative,Zoning Regulation,True,True,Urban Planning Policy,Urban Planning,llama3-70b,lora_70b_en_v0_alt_v2,urban studies,None
Recreational Space,Commercial Hub,True,False,Land Use Pattern,,llama3-70b,lora_70b_en_v0_alt_v2,urban studies,None
Post-War Bungalow,Historic Landmark,True,False,Building Architecture,,llama3-70b,lora_70b_en_v0_alt_v2,urban studies,None
Bike-Friendly Roads,Efficient Public Transit,True,True,Transportation Infrastructure,Transportation Infrastructure,llama3-70b,lora_70b_en_v0_alt_v2,urban studies,None
Art Deco Building,Post-War Bungalow,True,False,Building Architecture,,llama3-70b,lora_70b_en_v0_alt_v2,urban studies,None
Public-Private Partnership,Decentralized Administration,True,True,Urban Governance,Governance Structure,llama3-70b,lora_70b_en_v0_alt_v2,urban studies,None
Green Space Oasis,Noise Pollution Hotspot,True,False,Environmental Quality,,llama3-70b,lora_70b_en_v0_alt_v2,urban studies,None
Historic Museum Quarter,Lively Nightlife Scene,True,False,Cultural Amenities,,llama3-70b,lora_70b_en_v0_alt_v2,urban studies,None
Noise Pollution Hotspot,Toxic Waste Site,True,True,Environmental Quality,Environmental Health Risks,llama3-70b,lora_70b_en_v0_alt_v2,urban studies,None
Family-Oriented Neighborhood,Student Quarter,True,False,Neighborhood Demographics,,llama3-70b,lora_70b_en_v0_alt_v2,urban studies,None
Disaster-Prone Region,Zoning Regulation,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,urban studies,None
Police Patrol Zone,Commercial Hub,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,urban studies,None
Police Patrol Zone,Historic Landmark,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,urban studies,None
Recreational Space,Efficient Public Transit,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,urban studies,None
Financial Hub,Post-War Bungalow,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,urban studies,None
Art Deco Building,Decentralized Administration,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,urban studies,None
Student Quarter,Noise Pollution Hotspot,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,urban studies,None
Retiree Enclave,Commercial Hub,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,urban studies,None
Toxic Waste Site,Lively Nightlife Scene,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,urban studies,None
Waterway Access,Emergency Response Hub,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,urban studies,None
Solenoid Coil,Bar Magnet,True,True,Magnetic Field,Magnetic Field,llama3-70b,lora_70b_en_v0_alt_v2,physics,None
Fiberglass,Reflective Insulation,True,True,Thermal Insulator,Insulation Type,llama3-70b,lora_70b_en_v0_alt_v2,physics,None
Fixed Axis,Ideal Rigid Body,True,False,Kinematic Constraint,,llama3-70b,lora_70b_en_v0_alt_v2,physics,None
Styrofoam,Vacuum Flask,True,False,Thermal Insulator,,llama3-70b,lora_70b_en_v0_alt_v2,physics,None
Vacuum Flask,Ceramic Fiber,True,False,Thermal Insulator,,llama3-70b,lora_70b_en_v0_alt_v2,physics,None
Prism,Water,True,False,Optical Medium,,llama3-70b,lora_70b_en_v0_alt_v2,physics,None
Heat Engine,Refrigerator,True,False,Thermodynamic System,,llama3-70b,lora_70b_en_v0_alt_v2,physics,None
X-Ray Tube,Laser Diode,True,True,Radiation Source,None,llama3-70b,lora_70b_en_v0_alt_v2,physics,None
Tidal Force,Gravitational Wave,True,False,Gravitational Field,,llama3-70b,lora_70b_en_v0_alt_v2,physics,None
Tidal Force,Black Hole,True,False,Gravitational Field,,llama3-70b,lora_70b_en_v0_alt_v2,physics,None
Vibrating Diaphragm,Bar Magnet,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,physics,None
Prism,Reflective Insulation,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,physics,None
Air,Ideal Rigid Body,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,physics,None
Gold Plating,Vacuum Flask,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,physics,None
Gold Plating,Ideal Gas,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,physics,None
Guitar String,Ceramic Fiber,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,physics,None
Laser Diode,Water,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,physics,None
Radio Wave,Refrigerator,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,physics,None
Ceramic Fiber,Laser Diode,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,physics,None
Prism,Gravitational Wave,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,physics,None
Sleepwalker,Nap Lover,True,False,Sleep Pattern,,llama3-70b,lora_70b_en_v0_alt_v2,health,None
Athletic Build,Underweight,True,False,Body Mass Index,,llama3-70b,lora_70b_en_v0_alt_v2,health,None
Flexitarian,Omnivore,True,True,Diet Type,Diet,llama3-70b,lora_70b_en_v0_alt_v2,health,None
Factory Worker,Office Worker,True,False,Occupational Hazards,,llama3-70b,lora_70b_en_v0_alt_v2,health,None
Office Worker,Farmer,True,False,Occupational Hazards,,llama3-70b,lora_70b_en_v0_alt_v2,health,None
Obese,Underweight,True,True,Body Mass Index,Body Mass Index,llama3-70b,lora_70b_en_v0_alt_v2,health,None
Factory Worker,Construction Worker,True,True,Occupational Hazards,Occupational exposure to chemicals,llama3-70b,lora_70b_en_v0_alt_v2,health,None
Firefighter,Healthcare Professional,True,False,Occupational Hazards,,llama3-70b,lora_70b_en_v0_alt_v2,health,None
Healthcare Professional,Factory Worker,True,False,Occupational Hazards,,llama3-70b,lora_70b_en_v0_alt_v2,health,None
Vegetarian,Pescatarian,True,True,Diet Type,Diet,llama3-70b,lora_70b_en_v0_alt_v2,health,None
Prescription Follower,Nap Lover,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,health,None
Factory Worker,Underweight,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,health,None
Dose Adjuster,Omnivore,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,health,None
Flexitarian,Mountain Dweller,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,health,None
Chain Smoker,Office Worker,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,health,None
Non Smoker,Farmer,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,health,None
Prescription Follower,Underweight,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,health,None
Healthy Family,Construction Worker,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,health,None
Light Sleeper,Healthcare Professional,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,health,None
Desert Resident,Factory Worker,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,health,None
Deep Ultraviolet,Extreme Ultraviolet,True,True,Lithography Wavelength,Wavelength of light used in lithography,llama3-70b,lora_70b_en_v0_alt_v2,semiconductor manufacturing,None
Silicon Carbide,Silicon on Insulator,True,False,Type of Wafer Material,,llama3-70b,lora_70b_en_v0_alt_v2,semiconductor manufacturing,None
High-K Dielectric,Silicon Nitride,True,True,Dielectric Material Used,Gate Dielectric Material,llama3-70b,lora_70b_en_v0_alt_v2,semiconductor manufacturing,None
Flip Chip,System-in-Package,True,True,Packaging Technology,Package Type,llama3-70b,lora_70b_en_v0_alt_v2,semiconductor manufacturing,None
Nanowire,Gate-All-Around,True,False,Pattern of Transistor Gate,,llama3-70b,lora_70b_en_v0_alt_v2,semiconductor manufacturing,None
Silicon Dioxide,Low-K Dielectric,True,True,Dielectric Material Used,Dielectric Material,llama3-70b,lora_70b_en_v0_alt_v2,semiconductor manufacturing,None
Gold,Tungsten,True,True,Type of Interconnect Metal,Metal Type,llama3-70b,lora_70b_en_v0_alt_v2,semiconductor manufacturing,None
Low-K Dielectric,High-K Dielectric,True,True,Dielectric Material Used,Dielectric Constant,llama3-70b,lora_70b_en_v0_alt_v2,semiconductor manufacturing,None
Dry Etching,Plasma Etching,True,True,Type of Etching Process,Etching Method,llama3-70b,lora_70b_en_v0_alt_v2,semiconductor manufacturing,None
KrF Excimer Laser,Argon Fluoride,True,True,Lithography Wavelength,Type of laser used in lithography,llama3-70b,lora_70b_en_v0_alt_v2,semiconductor manufacturing,None
System-in-Package,Extreme Ultraviolet,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,semiconductor manufacturing,None
Wet Etching,Silicon on Insulator,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,semiconductor manufacturing,None
Wire Bonding,Silicon Dioxide,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,semiconductor manufacturing,None
Chemical Vapor Deposition,Silicon Nitride,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,semiconductor manufacturing,None
Deep Ultraviolet,System-in-Package,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,semiconductor manufacturing,None
Copper,Gate-All-Around,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,semiconductor manufacturing,None
Class 1000,High-K Dielectric,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,semiconductor manufacturing,None
Bulk Silicon,Low-K Dielectric,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,semiconductor manufacturing,None
Copper,Plasma Etching,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,semiconductor manufacturing,None
Argon Fluoride,Reactive Ion Etching,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,semiconductor manufacturing,None
Denial of Service Attack,Ransomware Malware,True,False,Cybersecurity Threat,,llama3-70b,lora_70b_en_v0_alt_v2,computer science,None
Queue Data Type,Graph Theory Application,True,False,Data Structure,,llama3-70b,lora_70b_en_v0_alt_v2,computer science,None
Linear Time Complexity,Logarithmic Space Complexity,True,False,Computational Complexity,,llama3-70b,lora_70b_en_v0_alt_v2,computer science,None
Lean Software Development,Agile Project Management,True,True,Software Development Methodology,Adoption of Agile Methodologies,llama3-70b,lora_70b_en_v0_alt_v2,computer science,None
Graph Theory Application,Tree Traversal Algorithm,True,False,Data Structure,,llama3-70b,lora_70b_en_v0_alt_v2,computer science,None
Linked List Implementation,Graph Theory Application,True,False,Data Structure,,llama3-70b,lora_70b_en_v0_alt_v2,computer science,None
Stack Overflow Handling,Tree Traversal Algorithm,True,False,Data Structure,,llama3-70b,lora_70b_en_v0_alt_v2,computer science,None
SQL Injection Attack,Denial of Service Attack,True,False,Cybersecurity Threat,,llama3-70b,lora_70b_en_v0_alt_v2,computer science,None
Harvard Architecture,Cache Memory Hierarchy,True,False,Computer Architecture,,llama3-70b,lora_70b_en_v0_alt_v2,computer science,None
Cache Memory Hierarchy,Von Neumann Architecture,True,False,Computer Architecture,,llama3-70b,lora_70b_en_v0_alt_v2,computer science,None
Deep Learning Neural Network,Graph Theory Application,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,computer science,None
Graph Theory Application,Logarithmic Space Complexity,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,computer science,None
RISC Instruction Set,Agile Project Management,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,computer science,None
RISC Instruction Set,Tree Traversal Algorithm,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,computer science,None
SMTP Email Protocol,Polynomial Time Algorithm,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,computer science,None
Cloud-Based Database,Graph Theory Application,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,computer science,None
Linear Time Complexity,Tree Traversal Algorithm,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,computer science,None
Deep Learning Neural Network,Denial of Service Attack,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,computer science,None
Augmented Reality Interface,Cache Memory Hierarchy,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,computer science,None
Python Syntax,Von Neumann Architecture,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,computer science,None
Couch Potato,Outdoor Adventurer,True,True,Leisure Activity,Physical Activity Level,llama3-70b,lora_70b_en_v0_alt_v2,sociology,None
Entrepreneur,Blue Collar Worker,True,False,Occupational Status,,llama3-70b,lora_70b_en_v0_alt_v2,sociology,None
Nuclear Family,Extended Family,True,True,Family Structure,Family Structure,llama3-70b,lora_70b_en_v0_alt_v2,sociology,None
Sports Enthusiast,Outdoor Adventurer,True,True,Leisure Activity,Personality,llama3-70b,lora_70b_en_v0_alt_v2,sociology,None
Ethnic Minority,Immigrant Community,True,True,Cultural Identity,Immigrant Status,llama3-70b,lora_70b_en_v0_alt_v2,sociology,None
Close-Knit Community,Loose Acquaintances,True,True,Social Network,Social Cohesion,llama3-70b,lora_70b_en_v0_alt_v2,sociology,None
Long-Term Resident,Recent Migrant,True,True,Residential Mobility,Length of Residence,llama3-70b,lora_70b_en_v0_alt_v2,sociology,None
Single Parent Household,Nuclear Family,True,True,Family Structure,Family Structure,llama3-70b,lora_70b_en_v0_alt_v2,sociology,None
Bachelor's Degree,Master's Degree,True,True,Education Level,Education Level,llama3-70b,lora_70b_en_v0_alt_v2,sociology,None
Online Network,Isolated Individual,True,True,Social Network,Social Integration,llama3-70b,lora_70b_en_v0_alt_v2,sociology,None
Counterculture,Outdoor Adventurer,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,sociology,None
Isolated Individual,Extended Family,False,True,,Social Support,llama3-70b,lora_70b_en_v0_alt_v2,sociology,None
Unemployed,Outdoor Adventurer,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,sociology,None
Artistic Pursuits,Poverty Line,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,sociology,None
Socialist,Immigrant Community,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,sociology,None
White Collar Worker,Recent Migrant,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,sociology,None
Socialist,Couch Potato,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,sociology,None
Suburban Area,Nuclear Family,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,sociology,None
Frequent Mover,Single Parent Household,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,sociology,None
Isolated Individual,Entrepreneur,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,sociology,None
Introverted Thinker,Intuitive Perceiver,True,False,Personality Type,,llama3-70b,lora_70b_en_v0_alt_v2,psychology,None
Extrinsically Motivated,Achievement-Oriented,True,True,Motivation,Motivation,llama3-70b,lora_70b_en_v0_alt_v2,psychology,None
Avoidantly Attached,Securely Attached,True,True,Attachment Style,Attachment Style,llama3-70b,lora_70b_en_v0_alt_v2,psychology,None
Setback Recoverer,Crisis Handler,True,True,Resilience,Resilience,llama3-70b,lora_70b_en_v0_alt_v2,psychology,None
Emotional Suppressor,Emotional Expresser,True,True,Emotional Regulation,Emotional Expression,llama3-70b,lora_70b_en_v0_alt_v2,psychology,None
Rationalizer,Suppressor,True,True,Coping Mechanism,Defense Mechanisms,llama3-70b,lora_70b_en_v0_alt_v2,psychology,None
Auditory Learner,Visual Learner,True,True,Learning Style,Learning Style,llama3-70b,lora_70b_en_v0_alt_v2,psychology,None
Self-Doubter,Overachiever,True,False,Self-Esteem,,llama3-70b,lora_70b_en_v0_alt_v2,psychology,None
Reading-Writing Learner,Kinesthetic Learner,True,True,Learning Style,Learning Style,llama3-70b,lora_70b_en_v0_alt_v2,psychology,None
Intrinsically Motivated,Socially Driven,True,False,Motivation,,llama3-70b,lora_70b_en_v0_alt_v2,psychology,None
Crisis Handler,Insecure Person,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,psychology,None
Large Family Circle,Intuitive Perceiver,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,psychology,None
Emotional Avoider,Achievement-Oriented,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,psychology,None
Fear-Driven,Crisis Handler,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,psychology,None
Close-Knit Friend Group,Emotional Expresser,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,psychology,None
Intrinsically Motivated,Crisis Handler,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,psychology,None
Setback Recoverer,Visual Learner,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,psychology,None
Large Family Circle,Securely Attached,False,True,,Social Support,llama3-70b,lora_70b_en_v0_alt_v2,psychology,None
Introverted Thinker,Overachiever,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,psychology,None
Introverted Thinker,Kinesthetic Learner,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,psychology,None
Bullish Trend,Bearish Trend,True,True,Market Sentiment,Market Sentiment,llama3-70b,lora_70b_en_v0_alt_v2,finance,None
Bearish Trend,Market Volatility,True,False,Market Sentiment,,llama3-70b,lora_70b_en_v0_alt_v2,finance,None
Bearish Trend,Economic Uncertainty,True,False,Market Sentiment,,llama3-70b,lora_70b_en_v0_alt_v2,finance,None
Market Penetration,Cost Leadership Strategy,True,False,Growth Strategy,,llama3-70b,lora_70b_en_v0_alt_v2,finance,None
Retail Business,Technology Sector,True,False,Industry Type,,llama3-70b,lora_70b_en_v0_alt_v2,finance,None
Low Debt Ratio,High Debt Ratio,True,True,Financial Leverage,Debt Ratio,llama3-70b,lora_70b_en_v0_alt_v2,finance,None
Turnaround Expertise,Seasoned Leadership,True,True,Management Experience,Management Quality,llama3-70b,lora_70b_en_v0_alt_v2,finance,None
Manufacturing Firm,Technology Sector,True,False,Industry Type,,llama3-70b,lora_70b_en_v0_alt_v2,finance,None
Economic Boom,Stagflation,True,False,Macroeconomic Conditions,,llama3-70b,lora_70b_en_v0_alt_v2,finance,None
Inflationary Pressure,Stagflation,True,True,Macroeconomic Conditions,Economic Conditions,llama3-70b,lora_70b_en_v0_alt_v2,finance,None
Cost Leadership Strategy,Developed Economy,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,finance,None
Cost Leadership Strategy,Duopoly Market,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,finance,None
Small Cap,Bearish Trend,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,finance,None
Organic Growth,Bearish Trend,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,finance,None
Deflationary Environment,Market Volatility,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,finance,None
Industry-Specific Laws,Cost Leadership Strategy,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,finance,None
Trade Agreements,Technology Sector,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,finance,None
Family Owned Business,High Debt Ratio,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,finance,None
Bearish Trend,Technology Sector,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,finance,None
Large Cap,Technology Sector,False,False,,,llama3-70b,lora_70b_en_v0_alt_v2,finance,None
minimal sustainability efforts,leading sustainability practices,True,True,Environmental Sustainability,sustainability efforts,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,urban studies,None
limited natural features,barren landscape,True,True,Natural Landscape,Urban natural environment,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,urban studies,None
apartment complexes,townhouses,True,True,Housing Types,Housing Type,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,urban studies,None
megacity,urban core,True,True,Population Density,Urbanization,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,urban studies,None
megacity,high-rise district,True,True,Population Density,Urbanization,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,urban studies,None
airport hub,bike lanes,True,False,Transportation Infrastructure,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,urban studies,None
limited cultural diversity,moderate cultural diversity,True,True,Cultural Diversity,cultural diversity,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,urban studies,None
world heritage site,moderate historical significance,True,True,Historical Significance,Historical significance,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,urban studies,None
moderate sustainability efforts,minimal sustainability efforts,True,True,Environmental Sustainability,Sustainability efforts,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,urban studies,None
sparse settlements,high-rise district,True,False,Population Density,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,urban studies,None
sparse settlements,leading sustainability practices,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,urban studies,None
no historical significance,barren landscape,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,urban studies,None
minimal sustainability efforts,townhouses,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,urban studies,None
industrial zone,urban core,False,True,,land use,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,urban studies,None
public transit system,knowledge economy,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,urban studies,None
pedestrian-friendly streets,high-rise district,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,urban studies,None
limited cultural diversity,bike lanes,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,urban studies,None
minimal sustainability efforts,high-rise district,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,urban studies,None
basic public services,minimal sustainability efforts,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,urban studies,None
world-class public services,high-rise district,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,urban studies,None
Frequency of a gamma ray,Frequency of a radio wave,True,True,Frequency of a wave,Frequency of electromagnetic radiation,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,physics,None
Absolute zero,Room temperature,True,True,Temperature of a gas,Temperature,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,physics,None
Charge of a proton,Charge of a capacitor,True,False,Electric charge,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,physics,None
Magnetic field of Jupiter,Magnetic field of a refrigerator magnet,True,True,Magnetic field strength,Magnetic field,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,physics,None
Frequency of visible light,Frequency of a cosmic ray,True,False,Frequency of a wave,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,physics,None
Magnetic field of a neutron star,Magnetic field of Jupiter,True,True,Magnetic field strength,Magnetic field,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,physics,None
Magnetic field of Earth,Magnetic field of Jupiter,True,True,Magnetic field strength,Magnetic field of a planet,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,physics,None
Magnetic field of Earth,Magnetic field of a neodymium magnet,True,True,Magnetic field strength,Magnetic field,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,physics,None
Height of a human,Diameter of a hydrogen atom,True,False,Length of an object,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,physics,None
Lifespan of a mayfly,Age of the Universe,True,False,Time duration,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,physics,None
