Interaction value,Variable values,Explanation
Presence of public art installations,"[{'Variable definition': 'Public space quality', 'Variable value': 'Enhanced'}, {'Variable definition': 'Community engagement', 'Variable value': 'Increased'}]","Public art installations can improve the quality of public spaces, making them more attractive and welcoming. Additionally, they can stimulate community engagement by providing a platform for expression and interaction."
High density of coffee shops,"[{'Variable definition': 'Economic vitality', 'Variable value': 'Boosted'}, {'Variable definition': 'Walkability', 'Variable value': 'Improved'}]","A high density of coffee shops can indicate a strong local economy, as these businesses often thrive in areas with high foot traffic. Additionally, the presence of coffee shops can encourage walking, as people may visit these establishments for meetings, study sessions, or casual gatherings."
Implementation of bike-sharing programs,"[{'Variable definition': 'Sustainable transportation', 'Variable value': 'Promoted'}, {'Variable definition': 'Urban mobility', 'Variable value': 'Enhanced'}]","Bike-sharing programs can encourage sustainable transportation by providing an eco-friendly alternative to cars. Furthermore, they can improve urban mobility by offering a flexible and convenient way to navigate the city."
Proliferation of coworking spaces,"[{'Variable definition': 'Economic diversity', 'Variable value': 'Expanded'}, {'Variable definition': 'Innovation ecosystem', 'Variable value': 'Strengthened'}]","The growth of coworking spaces can contribute to economic diversity by accommodating various industries and professionals. Additionally, it can foster a stronger innovation ecosystem by bringing together entrepreneurs, freelancers, and startups under one roof."
Availability of green roofs and walls,"[{'Variable definition': 'Urban heat island effect', 'Variable value': 'Mitigated'}, {'Variable definition': 'Biodiversity', 'Variable value': 'Enhanced'}]","Green roofs and walls can help combat the urban heat island effect by reducing temperatures in built-up areas. Furthermore, they can contribute to increased biodiversity by providing habitats for various plant and animal species."
High concentration of cultural institutions,"[{'Variable definition': 'Cultural vitality', 'Variable value': 'Elevated'}, {'Variable definition': 'Tourist appeal', 'Variable value': 'Increased'}]","A high concentration of cultural institutions, such as museums, theaters, and galleries, can signify a vibrant cultural scene. Additionally, it can attract tourists by offering a rich array of artistic and historical experiences."
Widespread use of smart city technologies,"[{'Variable definition': 'Efficient resource management', 'Variable value': 'Optimized'}, {'Variable definition': 'Resident satisfaction', 'Variable value': 'Improved'}]","The widespread use of smart city technologies, such as sensors and data analytics, can lead to more efficient resource management by optimizing services like waste collection, traffic management, and energy consumption. Moreover, it can enhance resident satisfaction by providing convenient and responsive urban services."
Prevalence of adaptive reuse projects,"[{'Variable definition': 'Historic preservation', 'Variable value': 'Respected'}, {'Variable definition': 'Sustainable development', 'Variable value': 'Promoted'}]","The prevalence of adaptive reuse projects, which involve repurposing existing buildings for new uses, can demonstrate a commitment to historic preservation. Furthermore, it can promote sustainable development by reducing the demand for new construction materials and preserving the embodied energy of existing structures."
Robust public transportation network,"[{'Variable definition': 'Air quality', 'Variable value': 'Improved'}, {'Variable definition': 'Social equity', 'Variable value': 'Advanced'}]","A robust public transportation network can contribute to improved air quality by reducing the number of cars on the road. Additionally, it can promote social equity by providing affordable and accessible transportation options for all residents, regardless of income or ability."
Integration of green infrastructure,"[{'Variable definition': 'Climate change resilience', 'Variable value': 'Strengthened'}, {'Variable definition': 'Liveability', 'Variable value': 'Enhanced'}]","The integration of green infrastructure, such as parks, wetlands, and green corridors, can enhance climate change resilience by mitigating the impacts of extreme weather events and flooding. Furthermore, it can improve liveability by providing opportunities for recreation, relaxation, and social interaction."
